LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1095.400557,1095.400537,1661327413.687327,36527.000,3790,2,EA,1,100,0.197910
1095.400557,1095.400537,1661327413.687327,36527.000,3790,2,EA,1,100,0.198185
1095.466633,1095.466613,1661327413.753403,36591.000,3810,1,EA,1,100,0.198022
1095.533226,1095.533205,1661327413.819995,36655.500,3826,2,EA,1,100,0.197854
1095.599818,1095.599798,1661327413.886588,36720.000,3826,2,EA,1,100,0.198050
1095.665894,1095.665874,1661327413.952664,36784.000,3843,1,EA,1,100,0.198135
1095.731454,1095.731434,1661327414.018224,36847.500,3858,2,EA,1,100,0.198168
1095.797014,1095.796994,1661327414.083784,36911.000,3858,2,EA,1,100,0.198214
1095.863606,1095.863586,1661327414.150376,36975.500,3877,2,EA,1,100,0.198292
1095.930199,1095.930179,1661327414.216969,37040.000,3877,2,EA,1,100,0.198281
1095.997307,1095.997287,1661327414.284077,37105.000,3893,1,EA,1,100,0.198287
1096.063900,1096.063880,1661327414.350670,37169.500,3911,2,EA,1,100,0.198236
1096.130492,1096.130472,1661327414.417262,37234.000,3911,2,EA,1,100,0.198287
1096.194503,1096.194483,1661327414.481273,37296.000,3929,1,EA,1,100,0.198383
1096.261096,1096.261076,1661327414.547866,37360.500,3944,2,EA,1,100,0.198343
1096.327688,1096.327668,1661327414.614458,37425.000,3944,2,EA,1,100,0.198360
1096.393764,1096.393744,1661327414.680534,37489.000,3960,1,EA,1,100,0.198569
1096.460357,1096.460337,1661327414.747127,37553.500,3978,2,EA,1,100,0.198665
1096.526949,1096.526929,1661327414.813719,37618.000,3978,2,EA,1,100,0.198835
1096.593025,1096.593005,1661327414.879795,37682.000,3996,2,EA,1,100,0.198943
1096.659102,1096.659081,1661327414.945871,37746.000,3996,2,EA,1,100,0.198909
1096.726210,1096.726190,1661327415.012980,37811.000,4013,1,EA,1,100,0.198897
1096.792286,1096.792266,1661327415.079056,37875.000,4028,2,EA,1,100,0.199193
1096.858362,1096.858342,1661327415.145132,37939.000,4028,2,EA,1,100,0.199193
1096.925471,1096.925451,1661327415.212241,38004.000,4050,1,EA,1,100,0.199170
1096.991547,1096.991527,1661327415.278317,38068.000,4066,2,EA,1,100,0.199250
1097.057623,1097.057603,1661327415.344393,38132.000,4066,2,EA,1,100,0.199187
1097.123700,1097.123679,1661327415.410470,38196.000,4084,1,EA,1,100,0.199255
1097.189260,1097.189239,1661327415.476029,38259.500,4101,2,EA,1,100,0.199221
1097.254819,1097.254799,1661327415.541589,38323.000,4101,2,EA,1,100,0.199250
1097.321412,1097.321392,1661327415.608182,38387.500,4119,2,EA,1,100,0.199438
1097.388004,1097.387984,1661327415.674774,38452.000,4119,2,EA,1,100,0.199552
1097.455113,1097.455093,1661327415.741883,38517.000,4136,1,EA,1,100,0.199603
1097.521189,1097.521169,1661327415.807959,38581.000,4155,2,EA,1,100,0.199546
1097.587265,1097.587245,1661327415.874035,38645.000,4155,2,EA,1,100,0.199792
1097.653341,1097.653321,1661327415.940111,38709.000,4171,1,EA,1,100,0.199975
1097.719934,1097.719914,1661327416.006704,38773.500,4189,2,EA,1,100,0.199952
1097.786526,1097.786506,1661327416.073296,38838.000,4189,2,EA,1,100,0.199964
1097.853635,1097.853615,1661327416.140405,38903.000,4205,1,EA,1,100,0.200015
1097.921776,1097.921756,1661327416.208546,38969.000,4224,2,EA,1,100,0.200193
1097.989917,1097.989897,1661327416.276687,39035.000,4224,2,EA,1,100,0.200205
1098.055993,1098.055973,1661327416.342763,39099.000,4240,1,EA,1,100,0.200280
1098.122585,1098.122565,1661327416.409355,39163.500,4259,2,EA,1,100,0.200331
1098.189178,1098.189158,1661327416.475948,39228.000,4259,2,EA,1,100,0.200188
1098.254738,1098.254718,1661327416.541508,39291.500,4274,2,EA,1,100,0.200262
1098.320298,1098.320278,1661327416.607068,39355.000,4274,2,EA,1,100,0.200383
1098.388439,1098.388419,1661327416.675209,39421.000,4291,1,EA,1,100,0.200683
1098.455547,1098.455527,1661327416.742317,39486.000,4313,2,EA,1,100,0.200625
1098.522656,1098.522636,1661327416.809426,39551.000,4313,2,EA,1,100,0.200625
1098.589765,1098.589744,1661327416.876535,39616.000,4330,1,EA,1,100,0.200822
1098.656357,1098.656337,1661327416.943127,39680.500,4344,2,EA,1,100,0.200845
1098.722949,1098.722929,1661327417.009720,39745.000,4344,2,EA,1,100,0.200914
1098.790058,1098.790038,1661327417.076828,39810.000,4364,1,EA,1,100,0.200931
1098.855102,1098.855082,1661327417.141872,39873.000,4380,2,EA,1,100,0.200920
1098.920145,1098.920125,1661327417.206916,39936.000,4380,2,EA,1,100,0.200972
1098.986738,1098.986718,1661327417.273508,40000.500,4397,2,EA,1,100,0.201163
1099.053330,1099.053310,1661327417.340101,40065.000,4397,2,EA,1,100,0.201117
1099.121471,1099.121451,1661327417.408242,40131.000,4414,1,EA,1,100,0.201198
1099.189096,1099.189076,1661327417.475866,40196.500,4431,2,EA,1,100,0.201308
1099.256721,1099.256701,1661327417.543491,40262.000,4431,2,EA,1,100,0.201506
1099.323829,1099.323809,1661327417.610600,40327.000,4447,1,EA,1,100,0.201599
1099.390422,1099.390402,1661327417.677192,40391.500,4467,2,EA,1,100,0.201413
1099.457014,1099.456994,1661327417.743785,40456.000,4467,2,EA,1,100,0.201419
1099.523090,1099.523070,1661327417.809861,40520.000,4483,2,EA,1,100,0.201553
1099.589167,1099.589146,1661327417.875937,40584.000,4483,2,EA,1,100,0.201652
1099.654210,1099.654190,1661327417.940981,40647.000,4500,1,EA,1,100,0.201844
1099.721835,1099.721815,1661327418.008605,40712.500,4517,2,EA,1,100,0.201961
1099.789460,1099.789440,1661327418.076230,40778.000,4517,2,EA,1,100,0.201803
1099.857601,1099.857581,1661327418.144372,40844.000,4534,1,EA,1,100,0.201809
1099.924193,1099.924173,1661327418.210964,40908.500,4558,2,EA,1,100,0.201897
1099.990786,1099.990766,1661327418.277556,40973.000,4558,2,EA,1,100,0.201973
1100.056862,1100.056842,1661327418.343632,41037.000,4576,2,EA,1,100,0.202154
1100.122938,1100.122918,1661327418.409708,41101.000,4576,2,EA,1,100,0.202336
1100.189530,1100.189510,1661327418.476301,41165.500,4594,2,EA,1,100,0.202501
1100.256123,1100.256103,1661327418.542893,41230.000,4594,2,EA,1,100,0.202542
1100.321167,1100.321147,1661327418.607937,41293.000,4610,1,EA,1,100,0.202777
1100.388275,1100.388255,1661327418.675046,41358.000,4628,2,EA,1,100,0.202819
1100.455384,1100.455364,1661327418.742154,41423.000,4628,2,EA,1,100,0.202677
1100.522492,1100.522472,1661327418.809263,41488.000,4645,1,EA,1,100,0.202601
1100.589085,1100.589065,1661327418.875855,41552.500,4661,2,EA,1,100,0.202571
1100.655677,1100.655657,1661327418.942448,41617.000,4661,2,EA,1,100,0.202606
1100.720721,1100.720701,1661327419.007492,41680.000,4678,1,EA,1,100,0.202671
1100.787830,1100.787809,1661327419.074600,41745.000,4693,2,EA,1,100,0.202783
1100.854938,1100.854918,1661327419.141709,41810.000,4693,2,EA,1,100,0.202942
1100.920498,1100.920478,1661327419.207269,41873.500,4712,2,EA,1,100,0.202883
1100.986058,1100.986038,1661327419.272829,41937.000,4712,2,EA,1,100,0.202736
1101.053167,1101.053147,1661327419.339937,42002.000,4728,1,EA,1,100,0.202901
1101.119243,1101.119223,1661327419.406013,42066.000,4750,2,EA,1,100,0.203363
1101.185319,1101.185299,1661327419.472090,42130.000,4750,2,EA,1,100,0.203191
1101.252428,1101.252408,1661327419.539198,42195.000,4766,1,EA,1,100,0.203232
1101.318504,1101.318484,1661327419.605274,42259.000,4781,2,EA,1,100,0.203297
1101.384580,1101.384560,1661327419.671351,42323.000,4781,2,EA,1,100,0.203410
1101.452721,1101.452701,1661327419.739492,42389.000,4798,1,EA,1,100,0.203725
1101.518281,1101.518261,1661327419.805052,42452.500,4818,2,EA,1,100,0.204130
