LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1095.413979,1095.413959,1661327413.700748,36540.000,3802,9,MZ,1,100,-37
1095.413979,1095.413959,1661327413.700748,36540.000,3802,9,MZ,1,100,-37
1095.413979,1095.413959,1661327413.700748,36540.000,3802,9,MZ,1,100,-37
1095.413979,1095.413959,1661327413.700748,36540.000,3802,9,MZ,1,100,-37
1095.413979,1095.413959,1661327413.700748,36540.000,3802,9,MZ,1,100,-36
1095.413979,1095.413959,1661327413.700748,36540.000,3802,9,MZ,1,100,-38
1095.413979,1095.413959,1661327413.700748,36540.000,3802,9,MZ,1,100,-37
1095.413979,1095.413959,1661327413.700748,36540.000,3802,9,MZ,1,100,-38
1095.413979,1095.413959,1661327413.700748,36540.000,3802,9,MZ,1,100,-36
1095.453728,1095.453708,1661327413.740497,36578.500,3822,2,MZ,1,100,-36
1095.493477,1095.493456,1661327413.780246,36617.000,3822,2,MZ,1,100,-36
1095.533398,1095.533377,1661327413.820167,36655.667,3838,3,MZ,1,100,-36
1095.573319,1095.573298,1661327413.860088,36694.333,3838,3,MZ,1,100,-36
1095.613240,1095.613220,1661327413.900009,36733.000,3838,3,MZ,1,100,-36
1095.652989,1095.652968,1661327413.939758,36771.500,3853,2,MZ,1,100,-37
1095.692738,1095.692717,1661327413.979507,36810.000,3853,2,MZ,1,100,-36
1095.731970,1095.731950,1661327414.018740,36848.000,3870,3,MZ,1,100,-37
1095.771203,1095.771183,1661327414.057973,36886.000,3870,3,MZ,1,100,-37
1095.810436,1095.810416,1661327414.097205,36924.000,3870,3,MZ,1,100,-36
1095.850357,1095.850337,1661327414.137126,36962.667,3889,3,MZ,1,100,-36
1095.890278,1095.890258,1661327414.177047,37001.333,3889,3,MZ,1,100,-36
1095.930199,1095.930179,1661327414.216969,37040.000,3889,3,MZ,1,100,-36
1095.969948,1095.969928,1661327414.256717,37078.500,3905,2,MZ,1,100,-36
1096.009697,1096.009677,1661327414.296466,37117.000,3905,2,MZ,1,100,-35
1096.049962,1096.049942,1661327414.336732,37156.000,3923,3,MZ,1,100,-36
1096.090227,1096.090207,1661327414.376997,37195.000,3923,3,MZ,1,100,-34
1096.130492,1096.130472,1661327414.417262,37234.000,3923,3,MZ,1,100,-36
1096.169725,1096.169705,1661327414.456495,37272.000,3939,2,MZ,1,100,-35
1096.208958,1096.208937,1661327414.495727,37310.000,3939,2,MZ,1,100,-34
1096.248535,1096.248514,1661327414.535304,37348.333,3956,3,MZ,1,100,-34
1096.288111,1096.288091,1661327414.574881,37386.667,3956,3,MZ,1,100,-34
1096.327688,1096.327668,1661327414.614458,37425.000,3956,3,MZ,1,100,-32
1096.367265,1096.367245,1661327414.654035,37463.333,3972,3,MZ,1,100,-33
1096.406842,1096.406822,1661327414.693612,37501.667,3972,3,MZ,1,100,-33
1096.446419,1096.446399,1661327414.733189,37540.000,3972,3,MZ,1,100,-31
1096.486684,1096.486664,1661327414.773454,37579.000,3990,2,MZ,1,100,-31
1096.526949,1096.526929,1661327414.813719,37618.000,3990,2,MZ,1,100,-32
1096.566870,1096.566850,1661327414.853640,37656.667,4008,3,MZ,1,100,-31
1096.606791,1096.606771,1661327414.893561,37695.333,4008,3,MZ,1,100,-30
1096.646712,1096.646692,1661327414.933482,37734.000,4008,3,MZ,1,100,-30
1096.686633,1096.686613,1661327414.973403,37772.667,4023,3,MZ,1,100,-31
1096.726554,1096.726534,1661327415.013324,37811.333,4023,3,MZ,1,100,-31
1096.766475,1096.766455,1661327415.053245,37850.000,4023,3,MZ,1,100,-31
1096.806224,1096.806204,1661327415.092994,37888.500,4040,2,MZ,1,100,-31
1096.845973,1096.845953,1661327415.132743,37927.000,4040,2,MZ,1,100,-31
1096.885206,1096.885186,1661327415.171976,37965.000,4062,3,MZ,1,100,-30
1096.924439,1096.924418,1661327415.211209,38003.000,4062,3,MZ,1,100,-30
1096.963671,1096.963651,1661327415.250441,38041.000,4062,3,MZ,1,100,-31
1097.003592,1097.003572,1661327415.290362,38079.667,4078,3,MZ,1,100,-31
1097.043513,1097.043493,1661327415.330283,38118.333,4078,3,MZ,1,100,-32
1097.083434,1097.083414,1661327415.370204,38157.000,4078,3,MZ,1,100,-32
1097.123700,1097.123679,1661327415.410470,38196.000,4095,2,MZ,1,100,-31
1097.163965,1097.163945,1661327415.450735,38235.000,4095,2,MZ,1,100,-31
1097.203542,1097.203521,1661327415.490312,38273.333,4112,3,MZ,1,100,-33
1097.243118,1097.243098,1661327415.529888,38311.667,4112,3,MZ,1,100,-33
1097.282695,1097.282675,1661327415.569465,38350.000,4112,3,MZ,1,100,-34
1097.322444,1097.322424,1661327415.609214,38388.500,4131,2,MZ,1,100,-34
1097.362193,1097.362173,1661327415.648963,38427.000,4131,2,MZ,1,100,-35
1097.402114,1097.402094,1661327415.688884,38465.667,4148,3,MZ,1,100,-35
1097.442035,1097.442015,1661327415.728805,38504.333,4148,3,MZ,1,100,-34
1097.481956,1097.481936,1661327415.768726,38543.000,4148,3,MZ,1,100,-35
1097.521189,1097.521169,1661327415.807959,38581.000,4167,3,MZ,1,100,-34
1097.560422,1097.560402,1661327415.847192,38619.000,4167,3,MZ,1,100,-35
1097.599654,1097.599634,1661327415.886425,38657.000,4167,3,MZ,1,100,-36
1097.639920,1097.639899,1661327415.926690,38696.000,4181,2,MZ,1,100,-35
1097.680185,1097.680165,1661327415.966955,38735.000,4181,2,MZ,1,100,-36
1097.715632,1097.715612,1661327416.002402,38769.333,4201,3,MZ,1,100,-36
1097.751079,1097.751059,1661327416.037849,38803.667,4201,3,MZ,1,100,-37
1097.786526,1097.786506,1661327416.073296,38838.000,4201,3,MZ,1,100,-36
1097.827135,1097.827115,1661327416.113905,38877.333,4217,3,MZ,1,100,-37
1097.867745,1097.867725,1661327416.154515,38916.667,4217,3,MZ,1,100,-36
1097.908354,1097.908334,1661327416.195124,38956.000,4217,3,MZ,1,100,-38
1097.949135,1097.949115,1661327416.235905,38995.500,4236,2,MZ,1,100,-36
1097.989917,1097.989897,1661327416.276687,39035.000,4236,2,MZ,1,100,-38
1098.029838,1098.029818,1661327416.316608,39073.667,4251,3,MZ,1,100,-37
1098.069759,1098.069739,1661327416.356529,39112.333,4251,3,MZ,1,100,-37
1098.109680,1098.109660,1661327416.396450,39151.000,4251,3,MZ,1,100,-38
1098.149257,1098.149237,1661327416.436027,39189.333,4270,3,MZ,1,100,-38
1098.188834,1098.188813,1661327416.475604,39227.667,4270,3,MZ,1,100,-37
1098.228410,1098.228390,1661327416.515181,39266.000,4270,3,MZ,1,100,-38
1098.268159,1098.268139,1661327416.554929,39304.500,4286,2,MZ,1,100,-37
1098.307908,1098.307888,1661327416.594678,39343.000,4286,2,MZ,1,100,-38
1098.347485,1098.347465,1661327416.634255,39381.333,4303,3,MZ,1,100,-37
1098.387062,1098.387042,1661327416.673832,39419.667,4303,3,MZ,1,100,-38
1098.426639,1098.426619,1661327416.713409,39458.000,4303,3,MZ,1,100,-38
1098.467937,1098.467916,1661327416.754707,39498.000,4325,2,MZ,1,100,-37
