LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1095.043333,1095.043313,1661327413.330102,36181,3804,1,SA,1,100,0.000517
1096.327688,1096.327668,1661327414.614458,37425,3991,1,SA,1,100,0.000583
1096.726210,1096.726190,1661327415.012980,37811,4045,1,SA,1,100,0.000295
1097.254819,1097.254799,1661327415.541589,38323,4150,1,SA,1,100,0.000353
1097.587265,1097.587245,1661327415.874035,38645,4183,1,SA,1,100,0.000160
1097.853635,1097.853615,1661327416.140405,38903,4219,1,SA,1,100,0.000178
1098.320298,1098.320278,1661327416.607068,39355,4308,1,SA,1,100,0.000242
1098.589765,1098.589744,1661327416.876535,39616,4358,1,SA,1,100,0.000093
1099.121471,1099.121451,1661327417.408242,40131,4461,1,SA,1,100,0.000401
1099.589167,1099.589146,1661327417.875937,40584,4511,1,SA,1,100,0.000309
1099.990786,1099.990766,1661327418.277556,40973,4622,1,SA,1,100,0.000846
1100.786797,1100.786777,1661327419.073568,41744,4707,1,SA,1,100,0.000159
1101.316439,1101.316419,1661327419.603209,42257,4863,1,SA,1,100,0.001408
1102.842385,1102.842365,1661327421.129156,43735,5053,1,SA,1,100,0.000181
1103.305951,1103.305931,1661327421.592722,44184,5122,1,SA,1,100,0.000133
1103.774679,1103.774659,1661327422.061450,44638,5224,1,SA,1,100,0.000201
1104.507711,1104.507691,1661327422.794482,45348,5347,1,SA,1,100,0.000464
1104.907266,1104.907246,1661327423.194037,45735,5454,1,SA,1,100,0.001072
1107.830103,1107.830084,1661327426.116875,48566,5948,1,SA,1,100,0.000792
1108.492930,1108.492910,1661327426.779702,49208,5984,1,SA,1,100,0.000317
1108.892484,1108.892464,1661327427.179256,49595,6036,1,SA,1,100,0.000224
1109.093810,1109.093790,1661327427.380582,49790,6092,1,SA,1,100,0.000337
1109.491300,1109.491280,1661327427.778072,50175,6193,1,SA,1,100,0.000419
1109.958995,1109.958975,1661327428.245767,50628,6229,1,SA,1,100,0.000182
1110.360614,1110.360594,1661327428.647387,51017,6322,1,SA,1,100,0.000456
1111.290843,1111.290823,1661327429.577615,51918,6459,1,SA,1,100,0.000185
1111.559277,1111.559257,1661327429.846050,52178,6510,1,SA,1,100,0.000288
1112.551452,1112.551432,1661327430.838225,53139,6664,1,SA,1,100,0.000251
1112.884930,1112.884910,1661327431.171703,53462,6734,1,SA,1,100,0.000201
1113.748050,1113.748030,1661327432.034823,54298,6839,1,SA,1,100,0.000065
1113.948343,1113.948324,1661327432.235117,54492,6925,1,SA,1,100,0.000312
1114.477985,1114.477966,1661327432.764759,55005,6963,1,SA,1,100,0.000176
1114.677246,1114.677227,1661327432.964020,55198,7048,1,SA,1,100,0.000419
1115.145974,1115.145954,1661327433.432747,55652,7119,1,SA,1,100,0.000631
1115.546561,1115.546541,1661327433.833334,56040,7152,1,SA,1,100,0.000138
1115.745822,1115.745802,1661327434.032595,56233,7229,1,SA,1,100,0.000716
1116.212485,1116.212465,1661327434.499258,56685,7262,1,SA,1,100,0.000166
1116.411746,1116.411726,1661327434.698519,56878,7298,1,SA,1,100,0.000287
1116.814397,1116.814378,1661327435.101171,57268,7368,1,SA,1,100,0.000449
1117.210854,1117.210835,1661327435.497628,57652,7471,1,SA,1,100,0.000916
1117.677517,1117.677498,1661327435.964291,58104,7506,1,SA,1,100,0.000061
1118.141083,1118.141063,1661327436.427857,58553,7594,1,SA,1,100,0.000184
1118.668660,1118.668640,1661327436.955434,59064,7678,1,SA,1,100,0.000314
1119.007300,1119.007280,1661327437.294074,59392,7733,1,SA,1,100,0.000227
1119.539007,1119.538987,1661327437.825781,59907,7818,1,SA,1,100,0.000352
1120.075875,1120.075856,1661327438.362650,60427,7922,1,SA,1,100,0.000468
1121.276603,1121.276584,1661327439.563378,61590,8199,1,SA,1,100,0.001286
1122.141788,1122.141769,1661327440.428563,62428,8235,1,SA,1,100,0.000105
1122.340017,1122.339997,1661327440.626791,62620,8270,1,SA,1,100,0.000168
1122.670397,1122.670378,1661327440.957172,62940,8338,1,SA,1,100,0.000853
1123.267148,1123.267128,1661327441.553923,63518,8410,1,SA,1,100,0.000333
1123.467441,1123.467422,1661327441.754216,63712,8444,1,SA,1,100,0.000241
1123.929974,1123.929955,1661327442.216749,64160,8530,1,SA,1,100,0.000135
1124.135430,1124.135411,1661327442.422205,64359,8601,1,SA,1,100,0.000951
1125.599430,1125.599411,1661327443.886205,65777,8802,1,SA,1,100,0.000086
1125.931876,1125.931856,1661327444.218651,66099,8877,1,SA,1,100,0.000058
1126.399571,1126.399552,1661327444.686347,66552,9014,1,SA,1,100,0.001314
1127.134668,1127.134649,1661327445.421444,67264,9052,1,SA,1,100,0.000365
