LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1095.327254,1095.327234,1661327413.614023,36456.000,3792,1,T1,1,100,34.727
1095.460439,1095.460418,1661327413.747208,36585.000,3812,1,T1,1,100,34.846
1095.593623,1095.593603,1661327413.880393,36714.000,3828,1,T1,1,100,34.827
1095.725776,1095.725755,1661327414.012545,36842.000,3860,1,T1,1,100,34.677
1095.856896,1095.856875,1661327414.143665,36969.000,3879,1,T1,1,100,34.754
1095.990080,1095.990060,1661327414.276850,37098.000,3895,1,T1,1,100,34.681
1096.123265,1096.123245,1661327414.410035,37227.000,3913,1,T1,1,100,34.756
1096.254385,1096.254365,1661327414.541155,37354.000,3946,1,T1,1,100,34.859
1096.386537,1096.386517,1661327414.673307,37482.000,3962,1,T1,1,100,34.726
1096.519722,1096.519702,1661327414.806492,37611.000,3980,1,T1,1,100,34.740
1096.652907,1096.652887,1661327414.939677,37740.000,3998,1,T1,1,100,34.746
1096.786092,1096.786071,1661327415.072861,37869.000,4030,1,T1,1,100,34.713
1096.919276,1096.919256,1661327415.206046,37998.000,4052,1,T1,1,100,34.734
1097.050396,1097.050376,1661327415.337166,38125.000,4068,1,T1,1,100,34.849
1097.183581,1097.183561,1661327415.470351,38254.000,4086,1,T1,1,100,34.793
1097.315733,1097.315713,1661327415.602503,38382.000,4121,1,T1,1,100,34.769
1097.447886,1097.447866,1661327415.734656,38510.000,4138,1,T1,1,100,34.794
1097.580038,1097.580018,1661327415.866808,38638.000,4157,1,T1,1,100,34.804
1097.713223,1097.713203,1661327415.999993,38767.000,4191,1,T1,1,100,34.773
1097.847440,1097.847420,1661327416.134210,38897.000,4207,1,T1,1,100,34.902
1097.983722,1097.983702,1661327416.270492,39029.000,4226,1,T1,1,100,34.816
1098.115875,1098.115854,1661327416.402645,39157.000,4242,1,T1,1,100,34.814
1098.248027,1098.248007,1661327416.534797,39285.000,4276,1,T1,1,100,34.778
