LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL,LC,
1095.388168,1095.388148,1661327413.674937,36515,3786,4,TX,1,100,2022-08-24_09-50-13-653356,1095.3665663,
1096.948185,1096.948165,1661327415.234955,38026,4043,4,TX,1,100,2022-08-24_09-50-15-210763,1096.9239740,
1098.504072,1098.504052,1661327416.790842,39533,4306,4,TX,1,100,2022-08-24_09-50-16-719990,1098.4332023,
1099.981494,1099.981474,1661327418.268264,40964,4549,4,TX,1,100,2022-08-24_09-50-18-253695,1099.9669065,
1101.586938,1101.586918,1661327419.873709,42519,4813,4,TX,1,100,2022-08-24_09-50-19-785639,1101.4988504,
1103.038549,1103.038529,1661327421.325320,43925,5051,4,TX,1,100,2022-08-24_09-50-21-319760,1103.0329713,
1104.597533,1104.597514,1661327422.884305,45435,5312,4,TX,1,100,2022-08-24_09-50-22-851625,1104.5648374,
1106.176134,1106.176114,1661327424.462906,46964,5573,4,TX,1,100,2022-08-24_09-50-24-386539,1106.0997488,
1108.486735,1108.486715,1661327426.773507,49202,5946,4,TX,1,100,2022-08-24_09-50-25-945524,1107.6587350,
1109.199119,1109.199099,1661327427.485891,49892,6074,4,TX,1,100,2022-08-24_09-50-27-452031,1109.1652428,
1110.747779,1110.747759,1661327429.034552,51392,6321,4,TX,1,100,2022-08-24_09-50-28-988548,1110.7017583,
1112.275791,1112.275771,1661327430.562563,52872,6580,4,TX,1,100,2022-08-24_09-50-30-518211,1112.2314220,
1113.783153,1113.783133,1661327432.069926,54332,6821,4,TX,1,100,2022-08-24_09-50-32-052413,1113.7656251,
1115.342138,1115.342118,1661327433.628911,55842,7084,4,TX,1,100,2022-08-24_09-50-33-585031,1115.2982421,
1116.866019,1116.866000,1661327435.152793,57318,7336,4,TX,1,100,2022-08-24_09-50-35-152083,1116.8652947,
1118.439458,1118.439438,1661327436.726232,58842,7593,4,TX,1,100,2022-08-24_09-50-36-721539,1118.4347497,
1120.099622,1120.099602,1661327438.386396,60450,7871,4,TX,1,100,2022-08-24_09-50-38-211520,1119.9247236,
1121.525421,1121.525402,1661327439.812196,61831,8100,4,TX,1,100,2022-08-24_09-50-39-751870,1121.4650816,
1123.051368,1123.051348,1661327441.338143,63309,8356,4,TX,1,100,2022-08-24_09-50-41-291595,1123.0048074,
1124.560795,1124.560776,1661327442.847570,64771,8600,4,TX,1,100,2022-08-24_09-50-42-817761,1124.5309727,
1126.109455,1126.109436,1661327444.396231,66271,8854,4,TX,1,100,2022-08-24_09-50-44-350726,1126.0639368,
1127.673602,1127.673583,1661327445.960378,67786,9120,4,TX,1,100,2022-08-24_09-50-45-893747,1127.6069590,
1129.134505,1129.134486,1661327447.421281,69201,9364,4,TX,1,100,2022-08-24_09-50-47-417206,1129.1304184,
1130.721365,1130.721346,1661327449.008142,70738,9624,4,TX,1,100,2022-08-24_09-50-48-950765,1130.6639761,
1132.234923,1132.234903,1661327450.521699,72204,9868,4,TX,1,100,2022-08-24_09-50-50-483842,1132.1970536,
1133.832107,1133.832088,1661327452.118884,73751,10132,4,TX,1,100,2022-08-24_09-50-52-023539,1133.7367512,
1135.288880,1135.288861,1661327453.575658,75162,10372,4,TX,1,100,2022-08-24_09-50-53-550890,1135.2641007,
1136.855092,1136.855073,1661327455.141870,76679,10633,4,TX,1,100,2022-08-24_09-50-55-083978,1136.7971893,
1138.361422,1138.361403,1661327456.648200,78138,10883,4,TX,1,100,2022-08-24_09-50-56-617548,1138.3307598,
1139.957575,1139.957556,1661327458.244353,79684,11144,4,TX,1,100,2022-08-24_09-50-58-187846,1139.9010558,
1141.731307,1141.731288,1661327460.018085,81402,11443,4,TX,1,100,2022-08-24_09-50-59-683788,1141.3970000,
1142.964040,1142.964021,1661327461.250819,82596,11639,4,TX,1,100,2022-08-24_09-51-01-216709,1142.9299213,
1144.569484,1144.569466,1661327462.856264,84151,11859,4,TX,1,100,2022-08-24_09-51-02-750315,1144.4635275,
1146.024193,1146.024174,1661327464.310972,85560,12081,4,TX,1,100,2022-08-24_09-51-04-283227,1145.9964391,
1147.728751,1147.728732,1661327466.015531,87211,12368,4,TX,1,100,2022-08-24_09-51-05-824145,1147.5373575,
1149.093637,1149.093618,1661327467.380417,88533,12592,4,TX,1,100,2022-08-24_09-51-07-349754,1149.0629659,
1150.622681,1150.622662,1661327468.909461,90014,12853,4,TX,1,100,2022-08-24_09-51-08-882860,1150.5960715,
1152.202314,1152.202295,1661327470.489095,91544,13116,4,TX,1,100,2022-08-24_09-51-10-416378,1152.1295893,
1153.699352,1153.699334,1661327471.986133,92994,13362,4,TX,1,100,2022-08-24_09-51-11-949428,1153.6626379,
1155.337835,1155.337816,1661327473.624616,94581,13641,4,TX,1,100,2022-08-24_09-51-13-488482,1155.2016905,
1156.772927,1156.772908,1661327475.059708,95971,13867,4,TX,1,100,2022-08-24_09-51-15-011260,1156.7244714,
1158.320554,1158.320536,1661327476.607336,97470,14133,4,TX,1,100,2022-08-24_09-51-16-549857,1158.2630673,
1159.827917,1159.827898,1661327478.114699,98930,14379,4,TX,1,100,2022-08-24_09-51-18-083324,1159.7965364,
1161.363155,1161.363137,1661327479.649937,100417,14635,4,TX,1,100,2022-08-24_09-51-19-615999,1161.3292113,
1162.926270,1162.926251,1661327481.213052,101931,14890,4,TX,1,100,2022-08-24_09-51-21-148837,1162.8620489,
1164.463573,1164.463554,1661327482.750356,103420,15137,4,TX,1,100,2022-08-24_09-51-22-681704,1164.3949152,
1166.023590,1166.023571,1661327484.310373,104931,15403,4,TX,1,100,2022-08-24_09-51-24-215603,1165.9288145,
1167.525790,1167.525772,1661327485.812574,106386,15645,4,TX,1,100,2022-08-24_09-51-25-748958,1167.4621694,
1169.092002,1169.091984,1661327487.378786,107903,15892,4,TX,1,100,2022-08-24_09-51-27-307725,1169.0209344,
1170.553937,1170.553919,1661327488.840721,109319,16137,4,TX,1,100,2022-08-24_09-51-28-816153,1170.5293633,
1172.091240,1172.091222,1661327490.378025,110808,16402,4,TX,1,100,2022-08-24_09-51-30-348769,1172.0619813,
1173.651257,1173.651239,1661327491.938042,112319,16659,4,TX,1,100,2022-08-24_09-51-31-881823,1173.5950352,
1175.226761,1175.226743,1661327493.513546,113845,16925,4,TX,1,100,2022-08-24_09-51-33-414465,1175.1276764,
1176.676307,1176.676289,1661327494.963092,115249,17153,4,TX,1,100,2022-08-24_09-51-34-948061,1176.6612732,
1178.242518,1178.242500,1661327496.529304,116766,17416,4,TX,1,100,2022-08-24_09-51-36-481802,1178.1950119,
1179.778789,1179.778771,1661327498.065575,118254,17665,4,TX,1,100,2022-08-24_09-51-38-014948,1179.7281595,
