LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1095.888901,1095.888881,1661327414.175671,37000,3872,1,BI,1,100,1640
1097.362193,1097.362173,1661327415.648963,38427,4114,1,BI,1,100,1480
1101.090334,1101.090314,1661327419.377105,42038,4744,1,BI,1,100,3720
1102.404631,1102.404611,1661327420.691402,43311,4949,1,BI,1,100,1320
1104.651220,1104.651200,1661327422.937992,45487,5329,1,BI,1,100,2240
1106.172005,1106.171985,1661327424.458776,46960,5575,1,BI,1,100,1520
1107.644264,1107.644244,1661327425.931036,48386,5810,1,BI,1,100,1480
1108.634374,1108.634354,1661327426.921146,49345,5982,1,BI,1,100,1000
1110.933618,1110.933599,1661327429.220391,51572,6356,1,BI,1,100,2280
1113.641709,1113.641689,1661327431.928482,54195,6802,1,BI,1,100,2720
1114.569872,1114.569853,1661327432.856646,55094,6961,1,BI,1,100,920
1119.376914,1119.376894,1661327437.663688,59750,7750,1,BI,1,100,4800
1126.142494,1126.142474,1661327444.429269,66303,8875,1,BI,1,100,6760
1128.756632,1128.756613,1661327447.043408,68835,9309,1,BI,1,100,2600
1130.559272,1130.559253,1661327448.846049,70581,9604,1,BI,1,100,1800
1131.477112,1131.477092,1661327449.763888,71470,9758,1,BI,1,100,920
1132.442443,1132.442424,1661327450.729220,72405,9903,1,BI,1,100,960
1133.688598,1133.688579,1661327451.975375,73612,10111,1,BI,1,100,1240
1135.568672,1135.568653,1661327453.855449,75433,10423,1,BI,1,100,1880
1136.729134,1136.729115,1661327455.015912,76557,10610,1,BI,1,100,1160
1140.222912,1140.222893,1661327458.509690,79941,11198,1,BI,1,100,3480
1141.185146,1141.185127,1661327459.471924,80873,11353,1,BI,1,100,960
1142.266111,1142.266092,1661327460.552889,81920,11530,1,BI,1,100,1080
1147.150585,1147.150566,1661327465.437364,86651,12274,1,BI,1,100,4880
1150.918991,1150.918972,1661327469.205771,90301,12909,1,BI,1,100,3760
1152.839330,1152.839311,1661327471.126110,92161,13217,1,BI,1,100,1920
1154.727663,1154.727644,1661327473.014444,93990,13535,1,BI,1,100,1880
1155.718805,1155.718787,1661327474.005586,94950,13710,1,BI,1,100,1000
1156.843132,1156.843114,1661327475.129914,96039,13886,1,BI,1,100,1120
1159.649305,1159.649286,1661327477.936087,98757,14355,1,BI,1,100,2800
1161.327020,1161.327001,1661327479.613802,100382,14636,1,BI,1,100,1680
1164.097057,1164.097038,1661327482.383839,103065,15086,1,BI,1,100,2760
1165.131562,1165.131543,1661327483.418344,104067,15261,1,BI,1,100,1040
1171.719562,1171.719544,1661327490.006346,110448,16344,1,BI,1,100,6600
1173.415861,1173.415843,1661327491.702646,112091,16624,1,BI,1,100,1680
1174.374998,1174.374980,1661327492.661783,113020,16787,1,BI,1,100,960
1176.645334,1176.645316,1661327494.932119,115219,17154,1,BI,1,100,2280
1177.281317,1177.281299,1661327495.568102,115835,17259,1,BI,1,100,640
1178.091782,1178.091764,1661327496.378568,116620,17396,1,BI,1,100,800
1179.129384,1179.129366,1661327497.416170,117625,17571,1,BI,1,100,1040
1180.171117,1180.171099,1661327498.457902,118634,17719,1,BI,1,100,1040
1183.216815,1183.216797,1661327501.503601,121584,18192,1,BI,1,100,3040
1187.007935,1187.007917,1661327505.294722,125256,18818,1,BI,1,100,3800
1189.493018,1189.493001,1661327507.779806,127663,19236,1,BI,1,100,2480
1193.781774,1193.781757,1661327512.068563,131817,19956,1,BI,1,100,4280
1195.183828,1195.183811,1661327513.470617,133175,20185,1,BI,1,100,1400
1197.909470,1197.909452,1661327516.196259,135815,20653,1,BI,1,100,2720
1198.990435,1198.990417,1661327517.277224,136862,20829,1,BI,1,100,1080
1200.669182,1200.669165,1661327518.955972,138488,21094,1,BI,1,100,1680
1201.827580,1201.827563,1661327520.114370,139610,21289,1,BI,1,100,1160
