LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1095.888901,1095.888881,1661327414.175671,37000,3873,1,HR,1,100,79
1097.362193,1097.362173,1661327415.648963,38427,4115,1,HR,1,100,75
1101.090334,1101.090314,1661327419.377105,42038,4745,1,HR,1,100,68
1102.404631,1102.404611,1661327420.691402,43311,4950,1,HR,1,100,65
1104.651220,1104.651200,1661327422.937992,45487,5330,1,HR,1,100,61
1106.172005,1106.171985,1661327424.458776,46960,5576,1,HR,1,100,58
1107.644264,1107.644244,1661327425.931036,48386,5811,1,HR,1,100,56
1108.634374,1108.634354,1661327426.921146,49345,5983,1,HR,1,100,57
1110.933618,1110.933599,1661327429.220391,51572,6357,1,HR,1,100,53
1113.641709,1113.641689,1661327431.928482,54195,6803,1,HR,1,100,49
1114.569872,1114.569853,1661327432.856646,55094,6962,1,HR,1,100,51
1119.376914,1119.376894,1661327437.663688,59750,7751,1,HR,1,100,47
1126.142494,1126.142474,1661327444.429269,66303,8876,1,HR,1,100,42
1128.756632,1128.756613,1661327447.043408,68835,9310,1,HR,1,100,40
1130.559272,1130.559253,1661327448.846049,70581,9605,1,HR,1,100,39
1131.477112,1131.477092,1661327449.763888,71470,9759,1,HR,1,100,42
1132.442443,1132.442424,1661327450.729220,72405,9904,1,HR,1,100,45
1133.688598,1133.688579,1661327451.975375,73612,10112,1,HR,1,100,45
1135.568672,1135.568653,1661327453.855449,75433,10424,1,HR,1,100,44
1136.729134,1136.729115,1661327455.015912,76557,10611,1,HR,1,100,44
1140.222912,1140.222893,1661327458.509690,79941,11199,1,HR,1,100,41
1141.185146,1141.185127,1661327459.471924,80873,11354,1,HR,1,100,44
1142.266111,1142.266092,1661327460.552889,81920,11531,1,HR,1,100,45
1147.150585,1147.150566,1661327465.437364,86651,12275,1,HR,1,100,41
1150.918991,1150.918972,1661327469.205771,90301,12910,1,HR,1,100,38
1152.839330,1152.839311,1661327471.126110,92161,13218,1,HR,1,100,37
1154.727663,1154.727644,1661327473.014444,93990,13536,1,HR,1,100,37
1155.718805,1155.718787,1661327474.005586,94950,13711,1,HR,1,100,40
1156.843132,1156.843114,1661327475.129914,96039,13887,1,HR,1,100,41
1159.649305,1159.649286,1661327477.936087,98757,14356,1,HR,1,100,39
1161.327020,1161.327001,1661327479.613802,100382,14637,1,HR,1,100,38
1164.097057,1164.097038,1661327482.383839,103065,15087,1,HR,1,100,37
1165.131562,1165.131543,1661327483.418344,104067,15262,1,HR,1,100,39
1171.719562,1171.719544,1661327490.006346,110448,16345,1,HR,1,100,35
1173.415861,1173.415843,1661327491.702646,112091,16625,1,HR,1,100,36
1174.374998,1174.374980,1661327492.661783,113020,16788,1,HR,1,100,39
1176.645334,1176.645316,1661327494.932119,115219,17155,1,HR,1,100,37
1177.281317,1177.281299,1661327495.568102,115835,17260,1,HR,1,100,44
1178.091782,1178.091764,1661327496.378568,116620,17397,1,HR,1,100,48
1179.129384,1179.129366,1661327497.416170,117625,17572,1,HR,1,100,49
1180.171117,1180.171099,1661327498.457902,118634,17720,1,HR,1,100,50
1183.216815,1183.216797,1661327501.503601,121584,18193,1,HR,1,100,46
1187.007935,1187.007917,1661327505.294722,125256,18819,1,HR,1,100,43
1189.493018,1189.493001,1661327507.779806,127663,19237,1,HR,1,100,40
1193.781774,1193.781757,1661327512.068563,131817,19957,1,HR,1,100,37
1195.183828,1195.183811,1661327513.470617,133175,20186,1,HR,1,100,38
1197.909470,1197.909452,1661327516.196259,135815,20654,1,HR,1,100,36
1198.990435,1198.990417,1661327517.277224,136862,20830,1,HR,1,100,38
1200.669182,1200.669165,1661327518.955972,138488,21095,1,HR,1,100,38
1201.827580,1201.827563,1661327520.114370,139610,21290,1,HR,1,100,40
