LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LR,LM,LC,LD,
1095.368551,1095.368531,1661327413.655321,36496,3784,8,LM,1,100,1095.3468772,1095.3468974,1095.3627341,Hello,
1096.934763,1096.934743,1661327415.221533,38013,4041,8,LM,1,100,1096.8804132,1096.8804310,1096.9214950,World,
1098.491683,1098.491663,1661327416.778453,39521,4304,8,LM,1,100,1098.4244883,1098.4245060,1098.4292002,Hello,
1099.969104,1099.969084,1661327418.255875,40952,4547,8,LM,1,100,1099.9469165,1099.9469343,1099.9630478,World,
1101.573516,1101.573496,1661327419.860287,42506,4811,8,LM,1,100,1101.4804846,1101.4805001,1101.4957561,Hello,
1103.025127,1103.025107,1661327421.311898,43912,5049,8,LM,1,100,1103.0259161,1103.0259281,1103.0293163,World,
1104.585144,1104.585124,1661327422.871916,45423,5310,8,LM,1,100,1104.5466465,1104.5466585,1104.5621745,Hello,
1106.163745,1106.163725,1661327424.450517,46952,5571,8,LM,1,100,1106.0797733,1106.0797887,1106.0961279,World,
1108.482606,1108.482586,1661327426.769378,49198,5944,8,LM,1,100,1107.6238899,1107.6239071,1107.6547959,Hello,
1109.185697,1109.185677,1661327427.472470,49879,6072,8,LM,1,100,1109.1462998,1109.1463176,1109.1621097,World,
1110.734357,1110.734338,1661327429.021130,51379,6319,8,LM,1,100,1110.6796192,1110.6796344,1110.6986779,Hello,
1112.263401,1112.263381,1661327430.550174,52860,6578,8,LM,1,100,1112.2129349,1112.2129500,1112.2284273,World,
1113.770764,1113.770744,1661327432.057537,54320,6819,8,LM,1,100,1113.7462150,1113.7462270,1113.7616330,Hello,
1115.328716,1115.328696,1661327433.615489,55829,7082,8,LM,1,100,1115.2793258,1115.2793390,1115.2949288,World,
1116.852597,1116.852578,1661327435.139371,57305,7334,8,LM,1,100,1116.8307504,1116.8307765,1116.8612871,Hello,
1118.426036,1118.426017,1661327436.712810,58829,7591,8,LM,1,100,1118.3640584,1118.3640845,1118.4314048,World,
1120.057292,1120.057272,1661327438.344066,60409,7868,8,LM,1,100,1119.9153678,1119.9153837,1119.9213960,Hello,
1121.513032,1121.513013,1661327439.799807,61819,8098,8,LM,1,100,1121.4465943,1121.4466207,1121.4610917,World,
1123.037946,1123.037927,1661327441.324721,63296,8354,8,LM,1,100,1122.9845179,1122.9845297,1123.0010923,Hello,
1124.548406,1124.548387,1661327442.835181,64759,8598,8,LM,1,100,1124.5121356,1124.5121474,1124.5277556,World,
1126.096034,1126.096014,1661327444.382809,66258,8852,8,LM,1,100,1126.0451383,1126.0451445,1126.0609095,Hello,
1127.660180,1127.660161,1661327445.946956,67773,9118,8,LM,1,100,1127.5866317,1127.5866535,1127.6031264,World,
1129.122116,1129.122096,1661327447.408892,69189,9362,8,LM,1,100,1129.1118461,1129.1118587,1129.1273227,Hello,
1130.702781,1130.702762,1661327448.989558,70720,9622,8,LM,1,100,1130.6450559,1130.6450762,1130.6606317,World,
1132.221501,1132.221482,1661327450.508277,72191,9866,8,LM,1,100,1132.1780380,1132.1780584,1132.1937950,Hello,
1133.818686,1133.818667,1661327452.105463,73738,10130,8,LM,1,100,1133.7195809,1133.7195980,1133.7326659,World,
1135.276491,1135.276472,1661327453.563268,75150,10370,8,LM,1,100,1135.2455094,1135.2455229,1135.2604276,Hello,
1136.841670,1136.841651,1661327455.128448,76666,10631,8,LM,1,100,1136.7779997,1136.7780134,1136.7935693,World,
1138.349033,1138.349014,1661327456.635811,78126,10881,8,LM,1,100,1138.3111429,1138.3111566,1138.3268667,Hello,
1139.944153,1139.944134,1661327458.230931,79671,11142,8,LM,1,100,1139.8513860,1139.8514039,1139.8979444,World,
1141.727177,1141.727158,1661327460.013955,81398,11441,8,LM,1,100,1141.3779262,1141.3779404,1141.3932711,Hello,
1142.951651,1142.951632,1661327461.238430,82584,11637,8,LM,1,100,1142.9108650,1142.9108773,1142.9264942,World,
1144.548836,1144.548817,1661327462.835615,84131,11857,8,LM,1,100,1144.4440028,1144.4440151,1144.4597270,Hello,
1146.011803,1146.011784,1661327464.298583,85548,12079,8,LM,1,100,1145.9836246,1145.9836396,1145.9931911,World,
1147.716362,1147.716343,1661327466.003142,87199,12366,8,LM,1,100,1147.5165492,1147.5165718,1147.5333612,Hello,
1149.080215,1149.080197,1661327467.366995,88520,12590,8,LM,1,100,1149.0500238,1149.0500406,1149.0599647,World,
1150.611324,1150.611305,1661327468.898104,90003,12851,8,LM,1,100,1150.5774227,1150.5774349,1150.5928791,Hello,
1152.187860,1152.187841,1661327470.474641,91530,13114,8,LM,1,100,1152.1106980,1152.1107102,1152.1259758,World,
1153.685931,1153.685912,1661327471.972711,92981,13360,8,LM,1,100,1153.6434071,1153.6434250,1153.6592437,Hello,
1155.324413,1155.324394,1661327473.611194,94568,13639,8,LM,1,100,1155.1771077,1155.1771149,1155.1978675,World,
1156.759505,1156.759486,1661327475.046286,95958,13865,8,LM,1,100,1156.7105139,1156.7105240,1156.7217570,Hello,
1158.308165,1158.308146,1661327476.594947,97458,14131,8,LM,1,100,1158.2431585,1158.2431686,1158.2590428,World,
1159.814495,1159.814477,1661327478.101277,98917,14377,8,LM,1,100,1159.7764186,1159.7764377,1159.7924998,Hello,
1161.349733,1161.349715,1661327479.636516,100404,14633,8,LM,1,100,1161.3098292,1161.3098443,1161.3255700,World,
1162.913880,1162.913862,1661327481.200663,101919,14888,8,LM,1,100,1162.8430160,1162.8430329,1162.8586981,Hello,
1164.446021,1164.446003,1661327482.732804,103403,15135,8,LM,1,100,1164.3762847,1164.3763016,1164.3918578,World,
1166.010168,1166.010150,1661327484.296951,104918,15401,8,LM,1,100,1165.9095270,1165.9095382,1165.9251454,Hello,
1167.512368,1167.512350,1661327485.799152,106373,15643,8,LM,1,100,1167.4428921,1167.4429025,1167.4583885,World,
1169.078580,1169.078562,1661327487.365364,107890,15890,8,LM,1,100,1168.9759350,1168.9759513,1169.0176368,Hello,
1170.539483,1170.539465,1661327488.826267,109305,16135,8,LM,1,100,1170.5095966,1170.5096129,1170.5255776,World,
1172.077819,1172.077800,1661327490.364603,110795,16400,8,LM,1,100,1172.0425894,1172.0426064,1172.0580652,Hello,
1173.638868,1173.638850,1661327491.925653,112307,16657,8,LM,1,100,1173.5759370,1173.5759458,1173.5914893,World,
1175.214372,1175.214354,1661327493.501157,113833,16923,8,LM,1,100,1175.1090050,1175.1090206,1175.1245089,Hello,
1176.662885,1176.662867,1661327494.949670,115236,17151,8,LM,1,100,1176.6424847,1176.6424984,1176.6578731,World,
1178.230129,1178.230111,1661327496.516915,116754,17414,8,LM,1,100,1178.1756594,1178.1756731,1178.1911132,Hello,
1179.766400,1179.766382,1661327498.053186,118242,17663,8,LM,1,100,1179.7090420,1179.7090585,1179.7242858,World,
1181.347066,1181.347048,1661327499.633852,119773,17879,8,LM,1,100,1181.2419104,1181.2419247,1181.2826197,Hello,
1182.829650,1182.829632,1661327501.116436,121209,18120,8,LM,1,100,1182.7753108,1182.7753177,1182.7907986,World,
1184.382440,1184.382422,1661327502.669226,122713,18383,8,LM,1,100,1184.3087974,1184.3088043,1184.3240734,Hello,
1185.945554,1185.945536,1661327504.232341,124227,18647,8,LM,1,100,1185.8416586,1185.8416739,1185.8573039,World,
1187.429170,1187.429153,1661327505.715958,125664,18888,8,LM,1,100,1187.3749349,1187.3749492,1187.3904693,Hello,
1188.922079,1188.922061,1661327507.208866,127110,19130,8,LM,1,100,1188.9083415,1188.9083593,1188.9237183,World,
1190.532685,1190.532668,1661327508.819473,128670,19411,8,LM,1,100,1190.4413043,1190.4413220,1190.4570644,Hello,
1192.002880,1192.002862,1661327510.289668,130094,19656,8,LM,1,100,1191.9743502,1191.9743670,1191.9902165,World,
1193.591805,1193.591788,1661327511.878594,131633,19918,8,LM,1,100,1193.5078112,1193.5078264,1193.5498094,Hello,
1195.058903,1195.058885,1661327513.345692,133054,20165,8,LM,1,100,1195.0413237,1195.0413363,1195.0566506,World,
1196.594141,1196.594124,1661327514.880930,134541,20431,8,LM,1,100,1196.5747532,1196.5747658,1196.5899926,Hello,
1198.125250,1198.125232,1661327516.412039,136024,20674,8,LM,1,100,1198.1076007,1198.1076163,1198.1231694,World,
1199.756505,1199.756488,1661327518.043295,137604,20950,8,LM,1,100,1199.6409736,1199.6409814,1199.6564033,Hello,
1201.193662,1201.193645,1661327519.480452,138996,21180,8,LM,1,100,1201.1739121,1201.1739281,1201.1897525,World,
1202.761938,1202.761921,1661327521.048729,140515,21442,8,LM,1,100,1202.7073116,1202.7073298,1202.7229638,Hello,
