LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1095.373714,1095.373693,1661327413.660483,36501.000,3789,4,PG,1,100,9185
1095.373714,1095.373693,1661327413.660483,36501.000,3789,4,PG,1,100,9170
1095.373714,1095.373693,1661327413.660483,36501.000,3789,4,PG,1,100,9164
1095.373714,1095.373693,1661327413.660483,36501.000,3789,4,PG,1,100,9161
1095.413635,1095.413614,1661327413.700404,36539.667,3809,3,PG,1,100,9163
1095.453556,1095.453535,1661327413.740325,36578.333,3809,3,PG,1,100,9156
1095.493477,1095.493456,1661327413.780246,36617.000,3809,3,PG,1,100,9154
1095.533398,1095.533377,1661327413.820167,36655.667,3825,3,PG,1,100,9150
1095.573319,1095.573298,1661327413.860088,36694.333,3825,3,PG,1,100,9152
1095.613240,1095.613220,1661327413.900009,36733.000,3825,3,PG,1,100,9145
1095.652989,1095.652968,1661327413.939758,36771.500,3842,2,PG,1,100,9149
1095.692738,1095.692717,1661327413.979507,36810.000,3842,2,PG,1,100,9144
1095.731970,1095.731950,1661327414.018740,36848.000,3857,3,PG,1,100,9153
1095.771203,1095.771183,1661327414.057973,36886.000,3857,3,PG,1,100,9155
1095.810436,1095.810416,1661327414.097205,36924.000,3857,3,PG,1,100,9157
1095.850357,1095.850337,1661327414.137126,36962.667,3876,3,PG,1,100,9177
1095.890278,1095.890258,1661327414.177047,37001.333,3876,3,PG,1,100,9164
1095.930199,1095.930179,1661327414.216969,37040.000,3876,3,PG,1,100,9162
1095.969948,1095.969928,1661327414.256717,37078.500,3892,2,PG,1,100,9175
1096.009697,1096.009677,1661327414.296466,37117.000,3892,2,PG,1,100,9179
1096.049962,1096.049942,1661327414.336732,37156.000,3910,3,PG,1,100,9172
1096.090227,1096.090207,1661327414.376997,37195.000,3910,3,PG,1,100,9162
1096.130492,1096.130472,1661327414.417262,37234.000,3910,3,PG,1,100,9148
1096.169725,1096.169705,1661327414.456495,37272.000,3928,2,PG,1,100,9143
1096.208958,1096.208937,1661327414.495727,37310.000,3928,2,PG,1,100,9145
1096.248535,1096.248514,1661327414.535304,37348.333,3943,3,PG,1,100,9139
1096.288111,1096.288091,1661327414.574881,37386.667,3943,3,PG,1,100,9139
1096.327688,1096.327668,1661327414.614458,37425.000,3943,3,PG,1,100,9140
1096.367265,1096.367245,1661327414.654035,37463.333,3959,3,PG,1,100,9136
1096.406842,1096.406822,1661327414.693612,37501.667,3959,3,PG,1,100,9136
1096.446419,1096.446399,1661327414.733189,37540.000,3959,3,PG,1,100,9125
1096.486684,1096.486664,1661327414.773454,37579.000,3977,2,PG,1,100,9128
1096.526949,1096.526929,1661327414.813719,37618.000,3977,2,PG,1,100,9125
1096.566870,1096.566850,1661327414.853640,37656.667,3995,3,PG,1,100,9122
1096.606791,1096.606771,1661327414.893561,37695.333,3995,3,PG,1,100,9117
1096.646712,1096.646692,1661327414.933482,37734.000,3995,3,PG,1,100,9117
1096.686633,1096.686613,1661327414.973403,37772.667,4012,3,PG,1,100,9113
1096.726554,1096.726534,1661327415.013324,37811.333,4012,3,PG,1,100,9124
1096.766475,1096.766455,1661327415.053245,37850.000,4012,3,PG,1,100,9122
1096.806224,1096.806204,1661327415.092994,37888.500,4027,2,PG,1,100,9110
1096.845973,1096.845953,1661327415.132743,37927.000,4027,2,PG,1,100,9094
1096.885206,1096.885186,1661327415.171976,37965.000,4049,3,PG,1,100,9081
1096.924439,1096.924418,1661327415.211209,38003.000,4049,3,PG,1,100,9073
1096.963671,1096.963651,1661327415.250441,38041.000,4049,3,PG,1,100,9066
1097.003937,1097.003916,1661327415.290706,38080.000,4065,2,PG,1,100,9057
1097.044202,1097.044182,1661327415.330971,38119.000,4065,2,PG,1,100,9051
1097.084123,1097.084103,1661327415.370893,38157.667,4083,3,PG,1,100,9040
1097.124044,1097.124024,1661327415.410814,38196.333,4083,3,PG,1,100,9039
1097.163965,1097.163945,1661327415.450735,38235.000,4083,3,PG,1,100,9035
1097.203542,1097.203521,1661327415.490312,38273.333,4100,3,PG,1,100,9034
1097.243118,1097.243098,1661327415.529888,38311.667,4100,3,PG,1,100,9033
1097.282695,1097.282675,1661327415.569465,38350.000,4100,3,PG,1,100,9031
1097.322444,1097.322424,1661327415.609214,38388.500,4118,2,PG,1,100,9029
1097.362193,1097.362173,1661327415.648963,38427.000,4118,2,PG,1,100,9028
1097.402114,1097.402094,1661327415.688884,38465.667,4135,3,PG,1,100,9030
1097.442035,1097.442015,1661327415.728805,38504.333,4135,3,PG,1,100,9025
1097.481956,1097.481936,1661327415.768726,38543.000,4135,3,PG,1,100,9026
1097.521189,1097.521169,1661327415.807959,38581.000,4154,3,PG,1,100,9030
1097.560422,1097.560402,1661327415.847192,38619.000,4154,3,PG,1,100,9031
1097.599654,1097.599634,1661327415.886425,38657.000,4154,3,PG,1,100,9039
1097.639920,1097.639899,1661327415.926690,38696.000,4170,2,PG,1,100,9038
1097.680185,1097.680165,1661327415.966955,38735.000,4170,2,PG,1,100,9030
1097.719762,1097.719742,1661327416.006532,38773.333,4188,3,PG,1,100,9011
1097.759339,1097.759318,1661327416.046108,38811.667,4188,3,PG,1,100,8990
1097.798915,1097.798895,1661327416.085685,38850.000,4188,3,PG,1,100,8985
1097.839697,1097.839677,1661327416.126467,38889.500,4204,2,PG,1,100,8987
1097.880478,1097.880458,1661327416.167248,38929.000,4204,2,PG,1,100,8979
1097.921087,1097.921067,1661327416.207858,38968.333,4223,3,PG,1,100,8972
1097.961697,1097.961677,1661327416.248467,39007.667,4223,3,PG,1,100,8970
1098.002306,1098.002286,1661327416.289076,39047.000,4223,3,PG,1,100,8974
1098.042571,1098.042551,1661327416.329341,39086.000,4239,2,PG,1,100,8968
1098.082836,1098.082816,1661327416.369606,39125.000,4239,2,PG,1,100,8976
1098.122413,1098.122393,1661327416.409184,39163.333,4258,3,PG,1,100,8979
1098.161990,1098.161970,1661327416.448760,39201.667,4258,3,PG,1,100,8982
1098.201567,1098.201547,1661327416.488337,39240.000,4258,3,PG,1,100,8987
1098.241144,1098.241124,1661327416.527914,39278.333,4273,3,PG,1,100,8985
1098.280721,1098.280701,1661327416.567491,39316.667,4273,3,PG,1,100,8996
1098.320298,1098.320278,1661327416.607068,39355.000,4273,3,PG,1,100,8998
1098.359530,1098.359510,1661327416.646301,39393.000,4290,2,PG,1,100,8999
1098.398763,1098.398743,1661327416.685533,39431.000,4290,2,PG,1,100,9012
1098.440061,1098.440041,1661327416.726831,39471.000,4312,3,PG,1,100,9010
1098.481358,1098.481338,1661327416.768128,39511.000,4312,3,PG,1,100,9012
1098.522656,1098.522636,1661327416.809426,39551.000,4312,3,PG,1,100,9015
1098.562921,1098.562901,1661327416.849691,39590.000,4329,3,PG,1,100,9018
1098.603186,1098.603166,1661327416.889956,39629.000,4329,3,PG,1,100,9009
1098.643451,1098.643431,1661327416.930222,39668.000,4329,3,PG,1,100,8992
1098.683200,1098.683180,1661327416.969970,39706.500,4343,2,PG,1,100,8985
1098.722949,1098.722929,1661327417.009720,39745.000,4343,2,PG,1,100,8985
1098.762182,1098.762162,1661327417.048952,39783.000,4363,3,PG,1,100,8989
1098.801415,1098.801395,1661327417.088185,39821.000,4363,3,PG,1,100,8984
1098.840647,1098.840627,1661327417.127418,39859.000,4363,3,PG,1,100,8979
1098.880396,1098.880376,1661327417.167167,39897.500,4379,2,PG,1,100,8977
1098.920145,1098.920125,1661327417.206916,39936.000,4379,2,PG,1,100,8978
1098.960066,1098.960046,1661327417.246837,39974.667,4396,3,PG,1,100,8980
1098.999987,1098.999967,1661327417.286758,40013.333,4396,3,PG,1,100,8986
1099.039908,1099.039888,1661327417.326679,40052.000,4396,3,PG,1,100,8990
1099.080862,1099.080842,1661327417.367632,40091.667,4413,3,PG,1,100,8997
1099.121815,1099.121795,1661327417.408586,40131.333,4413,3,PG,1,100,9000
1099.162769,1099.162749,1661327417.449539,40171.000,4413,3,PG,1,100,9008
1099.209745,1099.209725,1661327417.496515,40216.500,4430,2,PG,1,100,9011
1099.256721,1099.256701,1661327417.543491,40262.000,4430,2,PG,1,100,9022
1099.296470,1099.296450,1661327417.583240,40300.500,4446,2,PG,1,100,9026
1099.336219,1099.336199,1661327417.622989,40339.000,4446,2,PG,1,100,9040
1099.376484,1099.376464,1661327417.663254,40378.000,4466,3,PG,1,100,9044
1099.416749,1099.416729,1661327417.703519,40417.000,4466,3,PG,1,100,9052
1099.457014,1099.456994,1661327417.743785,40456.000,4466,3,PG,1,100,9060
1099.496591,1099.496571,1661327417.783361,40494.333,4482,3,PG,1,100,9065
1099.536168,1099.536148,1661327417.822938,40532.667,4482,3,PG,1,100,9062
1099.575745,1099.575725,1661327417.862515,40571.000,4482,3,PG,1,100,9056
1099.615322,1099.615302,1661327417.902092,40609.333,4499,3,PG,1,100,9052
1099.654899,1099.654878,1661327417.941669,40647.667,4499,3,PG,1,100,9048
1099.694475,1099.694455,1661327417.981246,40686.000,4499,3,PG,1,100,9035
1099.734741,1099.734721,1661327418.021511,40725.000,4516,2,PG,1,100,9033
1099.775006,1099.774986,1661327418.061776,40764.000,4516,2,PG,1,100,9051
1099.815615,1099.815595,1661327418.102386,40803.333,4533,3,PG,1,100,9038
1099.856224,1099.856204,1661327418.142995,40842.667,4533,3,PG,1,100,9036
1099.896834,1099.896814,1661327418.183604,40882.000,4533,3,PG,1,100,9032
1099.936755,1099.936735,1661327418.223525,40920.667,4557,3,PG,1,100,9036
1099.976676,1099.976656,1661327418.263446,40959.333,4557,3,PG,1,100,9047
1100.016597,1100.016577,1661327418.303367,40998.000,4557,3,PG,1,100,9046
1100.056518,1100.056498,1661327418.343288,41036.667,4575,3,PG,1,100,9040
1100.096439,1100.096419,1661327418.383209,41075.333,4575,3,PG,1,100,9053
1100.136360,1100.136340,1661327418.423130,41114.000,4575,3,PG,1,100,9063
1100.176281,1100.176261,1661327418.463051,41152.667,4593,3,PG,1,100,9066
1100.216202,1100.216182,1661327418.502972,41191.333,4593,3,PG,1,100,9073
1100.256123,1100.256103,1661327418.542893,41230.000,4593,3,PG,1,100,9084
1100.295356,1100.295336,1661327418.582126,41268.000,4609,2,PG,1,100,9093
1100.334588,1100.334568,1661327418.621359,41306.000,4609,2,PG,1,100,9096
1100.374853,1100.374833,1661327418.661624,41345.000,4627,3,PG,1,100,9100
1100.415119,1100.415099,1661327418.701889,41384.000,4627,3,PG,1,100,9109
1100.455384,1100.455364,1661327418.742154,41423.000,4627,3,PG,1,100,9114
1100.495133,1100.495113,1661327418.781903,41461.500,4644,2,PG,1,100,9122
1100.534882,1100.534862,1661327418.821652,41500.000,4644,2,PG,1,100,9128
1100.575147,1100.575127,1661327418.861917,41539.000,4660,3,PG,1,100,9134
1100.615412,1100.615392,1661327418.902183,41578.000,4660,3,PG,1,100,9133
1100.655677,1100.655657,1661327418.942448,41617.000,4660,3,PG,1,100,9139
1100.695598,1100.695578,1661327418.982369,41655.667,4677,3,PG,1,100,9142
1100.735519,1100.735499,1661327419.022290,41694.333,4677,3,PG,1,100,9141
1100.775440,1100.775420,1661327419.062211,41733.000,4677,3,PG,1,100,9129
1100.815189,1100.815169,1661327419.101960,41771.500,4692,2,PG,1,100,9131
1100.854938,1100.854918,1661327419.141709,41810.000,4692,2,PG,1,100,9134
1100.894171,1100.894151,1661327419.180942,41848.000,4711,3,PG,1,100,9145
1100.933404,1100.933384,1661327419.220174,41886.000,4711,3,PG,1,100,9143
1100.972636,1100.972616,1661327419.259407,41924.000,4711,3,PG,1,100,9142
1101.012901,1101.012881,1661327419.299672,41963.000,4727,2,PG,1,100,9147
1101.053167,1101.053147,1661327419.339937,42002.000,4727,2,PG,1,100,9152
1101.093088,1101.093068,1661327419.379858,42040.667,4749,3,PG,1,100,9157
1101.133009,1101.132989,1661327419.419779,42079.333,4749,3,PG,1,100,9169
1101.172930,1101.172910,1661327419.459700,42118.000,4749,3,PG,1,100,9178
1101.212851,1101.212831,1661327419.499621,42156.667,4765,3,PG,1,100,9180
1101.252772,1101.252752,1661327419.539542,42195.333,4765,3,PG,1,100,9189
1101.292693,1101.292673,1661327419.579463,42234.000,4765,3,PG,1,100,9197
1101.332442,1101.332422,1661327419.619212,42272.500,4780,2,PG,1,100,9201
1101.372191,1101.372171,1661327419.658961,42311.000,4780,2,PG,1,100,9210
1101.412112,1101.412092,1661327419.698882,42349.667,4797,3,PG,1,100,9214
1101.452033,1101.452013,1661327419.738803,42388.333,4797,3,PG,1,100,9227
1101.491954,1101.491934,1661327419.778724,42427.000,4797,3,PG,1,100,9226
1101.531186,1101.531166,1661327419.817957,42465.000,4817,3,PG,1,100,9241
1101.570419,1101.570399,1661327419.857190,42503.000,4817,3,PG,1,100,9255
