LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1095.043333,1095.043313,1661327413.330102,36181,3805,1,SR,1,100,0.133333
1096.327688,1096.327668,1661327414.614458,37425,3992,1,SR,1,100,0.266667
1096.726210,1096.726190,1661327415.012980,37811,4046,1,SR,1,100,0.133333
1097.254819,1097.254799,1661327415.541589,38323,4151,1,SR,1,100,0.200000
1097.587265,1097.587245,1661327415.874035,38645,4184,1,SR,1,100,0.133333
1097.853635,1097.853615,1661327416.140405,38903,4220,1,SR,1,100,0.066667
1098.320298,1098.320278,1661327416.607068,39355,4309,1,SR,1,100,0.133333
1098.589765,1098.589744,1661327416.876535,39616,4359,1,SR,1,100,0.133333
1099.121471,1099.121451,1661327417.408242,40131,4462,1,SR,1,100,0.200000
1099.589167,1099.589146,1661327417.875937,40584,4512,1,SR,1,100,0.133333
1099.990786,1099.990766,1661327418.277556,40973,4623,1,SR,1,100,0.400000
1100.786797,1100.786777,1661327419.073568,41744,4708,1,SR,1,100,0.066667
1101.316439,1101.316419,1661327419.603209,42257,4864,1,SR,1,100,0.466667
1102.842385,1102.842365,1661327421.129156,43735,5054,1,SR,1,100,0.066667
1103.305951,1103.305931,1661327421.592722,44184,5123,1,SR,1,100,0.066667
1103.774679,1103.774659,1661327422.061450,44638,5225,1,SR,1,100,0.200000
1104.507711,1104.507691,1661327422.794482,45348,5348,1,SR,1,100,0.266667
1104.907266,1104.907246,1661327423.194037,45735,5455,1,SR,1,100,0.400000
1107.830103,1107.830084,1661327426.116875,48566,5949,1,SR,1,100,0.533333
1108.492930,1108.492910,1661327426.779702,49208,5985,1,SR,1,100,0.133333
1108.892484,1108.892464,1661327427.179256,49595,6037,1,SR,1,100,0.066667
1109.093810,1109.093790,1661327427.380582,49790,6093,1,SR,1,100,0.133333
1109.491300,1109.491280,1661327427.778072,50175,6194,1,SR,1,100,0.333333
1109.958995,1109.958975,1661327428.245767,50628,6230,1,SR,1,100,0.133333
1110.360614,1110.360594,1661327428.647387,51017,6323,1,SR,1,100,0.266667
1111.290843,1111.290823,1661327429.577615,51918,6460,1,SR,1,100,0.133333
1111.559277,1111.559257,1661327429.846050,52178,6511,1,SR,1,100,0.200000
1112.551452,1112.551432,1661327430.838225,53139,6665,1,SR,1,100,0.200000
1112.884930,1112.884910,1661327431.171703,53462,6735,1,SR,1,100,0.200000
1113.748050,1113.748030,1661327432.034823,54298,6840,1,SR,1,100,0.066667
1113.948343,1113.948324,1661327432.235117,54492,6926,1,SR,1,100,0.400000
1114.477985,1114.477966,1661327432.764759,55005,6964,1,SR,1,100,0.066667
1114.677246,1114.677227,1661327432.964020,55198,7049,1,SR,1,100,0.333333
1115.145974,1115.145954,1661327433.432747,55652,7120,1,SR,1,100,0.266667
1115.546561,1115.546541,1661327433.833334,56040,7153,1,SR,1,100,0.066667
1115.745822,1115.745802,1661327434.032595,56233,7230,1,SR,1,100,0.333333
1116.212485,1116.212465,1661327434.499258,56685,7263,1,SR,1,100,0.066667
1116.411746,1116.411726,1661327434.698519,56878,7299,1,SR,1,100,0.133333
1116.814397,1116.814378,1661327435.101171,57268,7369,1,SR,1,100,0.133333
