LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LC,LM,
1095.385070,1095.385050,1661327413.671840,36512,3785,4,TX,1,100,1095.3468772,1095.3468974,
1096.946120,1096.946100,1661327415.232890,38024,4042,4,TX,1,100,1096.8804132,1096.8804310,
1098.502007,1098.501987,1661327416.788777,39531,4305,4,TX,1,100,1098.4244883,1098.4245060,
1099.980461,1099.980441,1661327418.267232,40963,4548,4,TX,1,100,1099.9469165,1099.9469343,
1101.584873,1101.584853,1661327419.871644,42517,4812,4,TX,1,100,1101.4804846,1101.4805001,
1103.036484,1103.036464,1661327421.323255,43923,5050,4,TX,1,100,1103.0259161,1103.0259281,
1104.595469,1104.595449,1661327422.882240,45433,5311,4,TX,1,100,1104.5466465,1104.5466585,
1106.174070,1106.174050,1661327424.460841,46962,5572,4,TX,1,100,1106.0797733,1106.0797887,
1108.484670,1108.484651,1661327426.771443,49200,5945,4,TX,1,100,1107.6238899,1107.6239071,
1109.197054,1109.197034,1661327427.483826,49890,6073,4,TX,1,100,1109.1462998,1109.1463176,
1110.743649,1110.743630,1661327429.030422,51388,6320,4,TX,1,100,1110.6796192,1110.6796344,
1112.272693,1112.272673,1661327430.559466,52869,6579,4,TX,1,100,1112.2129349,1112.2129500,
1113.781088,1113.781068,1661327432.067861,54330,6820,4,TX,1,100,1113.7462150,1113.7462270,
1115.340073,1115.340053,1661327433.626846,55840,7083,4,TX,1,100,1115.2793258,1115.2793390,
1116.863954,1116.863935,1661327435.150728,57316,7335,4,TX,1,100,1116.8307504,1116.8307765,
1118.437393,1118.437373,1661327436.724167,58840,7592,4,TX,1,100,1118.3640584,1118.3640845,
1120.097557,1120.097537,1661327438.384331,60448,7870,4,TX,1,100,1119.9153678,1119.9153837,
1121.523357,1121.523337,1661327439.810131,61829,8099,4,TX,1,100,1121.4465943,1121.4466207,
1123.049303,1123.049284,1661327441.336078,63307,8355,4,TX,1,100,1122.9845179,1122.9845297,
1124.557698,1124.557679,1661327442.844473,64768,8599,4,TX,1,100,1124.5121356,1124.5121474,
1126.107391,1126.107371,1661327444.394166,66269,8853,4,TX,1,100,1126.0451383,1126.0451445,
1127.671537,1127.671518,1661327445.958313,67784,9119,4,TX,1,100,1127.5866317,1127.5866535,
1129.133473,1129.133453,1661327447.420249,69200,9363,4,TX,1,100,1129.1118461,1129.1118587,
1130.718268,1130.718249,1661327449.005044,70735,9623,4,TX,1,100,1130.6450559,1130.6450762,
1132.232858,1132.232838,1661327450.519634,72202,9867,4,TX,1,100,1132.1780380,1132.1780584,
1133.830043,1133.830023,1661327452.116820,73749,10131,4,TX,1,100,1133.7195809,1133.7195980,
1135.286816,1135.286796,1661327453.573593,75160,10371,4,TX,1,100,1135.2455094,1135.2455229,
1136.851995,1136.851976,1661327455.138772,76676,10632,4,TX,1,100,1136.7779997,1136.7780134,
1138.358325,1138.358306,1661327456.645103,78135,10882,4,TX,1,100,1138.3111429,1138.3111566,
1139.955510,1139.955491,1661327458.242288,79682,11143,4,TX,1,100,1139.8513860,1139.8514039,
1141.729242,1141.729223,1661327460.016020,81400,11442,4,TX,1,100,1141.3779262,1141.3779404,
1142.961975,1142.961956,1661327461.248754,82594,11638,4,TX,1,100,1142.9108650,1142.9108773,
1144.567420,1144.567401,1661327462.854199,84149,11858,4,TX,1,100,1144.4440028,1144.4440151,
1146.022128,1146.022109,1661327464.308907,85558,12080,4,TX,1,100,1145.9836246,1145.9836396,
1147.726686,1147.726668,1661327466.013466,87209,12367,4,TX,1,100,1147.5165492,1147.5165718,
1149.091572,1149.091553,1661327467.378352,88531,12591,4,TX,1,100,1149.0500238,1149.0500406,
1150.620616,1150.620597,1661327468.907396,90012,12852,4,TX,1,100,1150.5774227,1150.5774349,
1152.199217,1152.199198,1661327470.485997,91541,13115,4,TX,1,100,1152.1106980,1152.1107102,
1153.696255,1153.696236,1661327471.983036,92991,13361,4,TX,1,100,1153.6434071,1153.6434250,
1155.334737,1155.334719,1661327473.621519,94578,13640,4,TX,1,100,1155.1771077,1155.1771149,
1156.770862,1156.770843,1661327475.057643,95969,13866,4,TX,1,100,1156.7105139,1156.7105240,
1158.318489,1158.318471,1661327476.605271,97468,14132,4,TX,1,100,1158.2431585,1158.2431686,
1159.825852,1159.825833,1661327478.112634,98928,14378,4,TX,1,100,1159.7764186,1159.7764377,
1161.360058,1161.360039,1661327479.646840,100414,14634,4,TX,1,100,1161.3098292,1161.3098443,
1162.923172,1162.923154,1661327481.209955,101928,14889,4,TX,1,100,1162.8430160,1162.8430329,
1164.461508,1164.461490,1661327482.748291,103418,15136,4,TX,1,100,1164.3762847,1164.3763016,
1166.020493,1166.020474,1661327484.307276,104928,15402,4,TX,1,100,1165.9095270,1165.9095382,
1167.522693,1167.522675,1661327485.809476,106383,15644,4,TX,1,100,1167.4428921,1167.4429025,
1169.089937,1169.089919,1661327487.376721,107901,15891,4,TX,1,100,1168.9759350,1168.9759513,
1170.551872,1170.551854,1661327488.838656,109317,16136,4,TX,1,100,1170.5095966,1170.5096129,
1172.089175,1172.089157,1661327490.375960,110806,16401,4,TX,1,100,1172.0425894,1172.0426064,
1173.649192,1173.649174,1661327491.935977,112317,16658,4,TX,1,100,1173.5759370,1173.5759458,
1175.224696,1175.224678,1661327493.511481,113843,16924,4,TX,1,100,1175.1090050,1175.1090206,
1176.674242,1176.674224,1661327494.961027,115247,17152,4,TX,1,100,1176.6424847,1176.6424984,
1178.240454,1178.240436,1661327496.527239,116764,17415,4,TX,1,100,1178.1756594,1178.1756731,
1179.776724,1179.776706,1661327498.063510,118252,17664,4,TX,1,100,1179.7090420,1179.7090585,
1181.357390,1181.357372,1661327499.644176,119783,17880,4,TX,1,100,1181.2419104,1181.2419247,
1182.839974,1182.839956,1661327501.126761,121219,18121,4,TX,1,100,1182.7753108,1182.7753177,
1184.394829,1184.394811,1661327502.681616,122725,18384,4,TX,1,100,1184.3087974,1184.3088043,
1185.955878,1185.955861,1661327504.242666,124237,18648,4,TX,1,100,1185.8416586,1185.8416739,
1187.441560,1187.441542,1661327505.728347,125676,18889,4,TX,1,100,1187.3749349,1187.3749492,
1188.982993,1188.982975,1661327507.269780,127169,19149,4,TX,1,100,1188.9083415,1188.9083593,
1190.750530,1190.750513,1661327509.037318,128881,19448,4,TX,1,100,1190.4413043,1190.4413220,
1192.014237,1192.014219,1661327510.301025,130105,19657,4,TX,1,100,1191.9743502,1191.9743670,
1193.603162,1193.603145,1661327511.889951,131644,19919,4,TX,1,100,1193.5078112,1193.5078264,
1195.069227,1195.069210,1661327513.356016,133064,20166,4,TX,1,100,1195.0413237,1195.0413363,
1196.606531,1196.606513,1661327514.893320,134553,20432,4,TX,1,100,1196.5747532,1196.5747658,
1198.135574,1198.135557,1661327516.422364,136034,20675,4,TX,1,100,1198.1076007,1198.1076163,
1199.766830,1199.766812,1661327518.053619,137614,20951,4,TX,1,100,1199.6409736,1199.6409814,
1201.205019,1201.205001,1661327519.491809,139007,21181,4,TX,1,100,1201.1739121,1201.1739281,
1202.771230,1202.771213,1661327521.058021,140524,21443,4,TX,1,100,1202.7073116,1202.7073298,
1204.284788,1204.284770,1661327522.571578,141990,21681,4,TX,1,100,1204.2405677,1204.2405859,
1205.918108,1205.918091,1661327524.204899,143572,21939,4,TX,1,100,1205.7738855,1205.7739028,
